Month,City,Merchant,Purchase Total,No of sales
Jan 2017,1,Cesar Hall inc,4.169391856E7,2076
Jan 2017,1,Mary Gray 7 inc,2.401448966E7,1206
Jan 2017,1,Kathie Sughrue inc,2.263628161E7,1131
Jan 2017,1,Steven Russell inc,1.931618758E7,953
Jan 2017,1,Maxine Flores inc,1.550970097E7,756
Jan 2017,2,Mark Cipolla inc,396768.34,19
Jan 2017,2,Shana Platt inc,271193.75,14
Jan 2017,2,Ernesto Matthews inc,218559.82,11
Jan 2017,2,James Luhman inc,207420.85,11
Jan 2017,2,Salvador Adderley inc,203993.93,9
Jan 2017,3,Rhonda Cunningham inc,719652.68,35
Jan 2017,3,Dennis Mcmillan inc,438990.09,22
Jan 2017,3,Solomon Deshayes inc,291376.28,16
Jan 2017,3,Donnie Sefcovic inc,275845.32,17
Jan 2017,3,Lisa Stulce inc,265200.03,14
Jan 2017,4,Louise Cole 2 inc,1730986.91,88
Jan 2017,4,Nathaniel Stewart inc,1245797.53,63
Jan 2017,4,Enriqueta Barbour inc,1147060.76,57
Jan 2017,4,Carolyn Smith 8 inc,929496.59,46
Jan 2017,4,Juan Niemi inc,864319.54,43
Jan 2017,6,Eva Mcnear inc,267348.43,14
Jan 2017,6,Guillermo Angelilli inc,206034.25,11
Jan 2017,6,Jack Mcsweeney inc,179407.81,10
Jan 2017,6,Terrell Dueno inc,151386.01,11
Jan 2017,6,Lorraine Thurman inc,149893.91,7
Jan 2017,7,Sheila Bissonnette inc,291940.64,17
Jan 2017,7,Don Lenz inc,290927.05,14
Jan 2017,7,Kathy Briggs inc,220037.87,10
Jan 2017,7,Mable Galarza inc,209030.1,10
Jan 2017,7,Rose Hart 2 inc,189396.03,11
Jan 2017,8,Mike Sparks inc,971431.74,44
Jan 2017,8,Larry Stegall 2 inc,816934.14,37
Jan 2017,8,Carlotta Schell inc,593485.13,30
Jan 2017,8,Sandra Crocker inc,561113.31,30
Jan 2017,8,Mary Alas inc,454877.23,23
Jan 2017,9,Scott Brown 6 inc,411736.86,18
Jan 2017,9,Barbara Bishop inc,385920.27,18
Jan 2017,9,Rachael Oehler inc,341216.85,17
Jan 2017,9,Heather Mezzatesta inc,239666.2,10
Jan 2017,9,Deborah Mendoza 2 inc,236620.98,12
Jan 2017,10,Roger Murach inc,597206.63,28
Jan 2017,10,Socorro Stevens inc,285156.54,16
Jan 2017,10,Iris Key inc,264218.44,13
Jan 2017,10,Maribel Prince inc,254539.64,11
Jan 2017,10,Kristin Victoria inc,243697.06,11
Jan 2017,11,Paula Crumb inc,1020795.68,53
Jan 2017,11,Linda Hogan 2 inc,546415.48,26
Jan 2017,11,Matthew Verhoeven inc,479033.49,24
Jan 2017,11,Ruth Shambo inc,459785.77,22
Jan 2017,11,Grant Mayers inc,440468.45,21
Jan 2017,12,Delbert Sherlock inc,845824.87,39
Jan 2017,12,Joe Cleghorn inc,833313.35,42
Jan 2017,12,Catherine Martin 7 inc,661465.01,27
Jan 2017,12,Emily Jiggetts inc,492543.56,26
Jan 2017,12,Robyn Douglas inc,451636.64,24
Jan 2017,13,Carol Green inc,449281.43,21
Jan 2017,13,Curtis Gregg inc,297703.81,12
Jan 2017,13,Robert Brown 41 inc,288790.3,13
Jan 2017,13,Natalie Durate inc,241050.94,12
Jan 2017,13,Ida Cox 2 inc,222706.67,10
Jan 2017,14,Cynthia Wood 2 inc,1225486.03,62
Jan 2017,14,James Mayoka inc,634346.86,28
Jan 2017,14,Norma Rayfield inc,600112.67,29
Jan 2017,14,Joshua Matthews 2 inc,411220.53,19
Jan 2017,14,Stanley Summerville inc,397625.0,21
Jan 2017,16,Cheryl Croom inc,129931.39,6
Jan 2017,16,Willie Walker 4 inc,107510.22,7
Jan 2017,16,Ramon Morris inc,98307.56,5
Jan 2017,16,Michael Cichy inc,91541.88,4
Jan 2017,16,Jessica Piper inc,84401.74,3
Jan 2017,17,Sharonda Jordan inc,9694568.75,483
Jan 2017,17,Michael Roberson 2 inc,6091961.31,306
Jan 2017,17,Nick Curtis inc,6062686.56,310
Jan 2017,17,Virgil Lemon inc,4353995.01,214
Jan 2017,17,Samuel Scott 3 inc,4131017.5,200
Jan 2017,18,Ruth Fuentes inc,349776.32,18
Jan 2017,18,Richard Mahoney inc,106550.18,5
Jan 2017,18,Kenneth Patrick 2 inc,103155.38,6
Jan 2017,18,Barton Garland inc,87207.72,4
Jan 2017,18,Leon Foster inc,76878.19,3
Jan 2017,19,Ella Rose 2 inc,1.150774366E7,584
Jan 2017,19,Lori Joseph inc,1.021226735E7,526
Jan 2017,19,Chad Tobar inc,9171564.93,451
Jan 2017,19,Tony Moore 3 inc,5901877.74,301
Jan 2017,19,Zachary Mayle inc,5100625.08,251
Jan 2017,20,Justin Ganser inc,3746216.98,182
Jan 2017,20,Natasha Bucher inc,2503616.56,124
Jan 2017,20,Richard West 5 inc,925953.34,48
Jan 2017,20,Craig Miller 4 inc,864146.03,40
Jan 2017,20,Luisa Goldstein inc,699563.82,36
Jan 2017,21,Thelma Cashen inc,811048.16,39
Jan 2017,21,Eldridge Williams 2 inc,800962.56,37
Jan 2017,21,Toni Keith 2 inc,778909.24,41
Jan 2017,21,John Boschert inc,772140.84,36
Jan 2017,21,Steven Nagle inc,598775.26,30
Jan 2017,22,Daniel Browning inc,332167.47,16
Jan 2017,22,Aileen Rivera inc,308728.68,14
Jan 2017,22,Phyllis Allen 2 inc,232989.86,11
Jan 2017,22,Allen Laban inc,225354.07,10
Jan 2017,22,Allen Patrick inc,199061.82,9
Jan 2017,23,Ellen Tait inc,378197.91,18
Jan 2017,23,Rosemary Walker 3 inc,312774.55,16
Jan 2017,23,Joseph Bailey 2 inc,240656.75,13
Jan 2017,23,Bruce Smith 7 inc,206232.88,9
Jan 2017,23,Stacey Sharon inc,148204.11,6
Jan 2017,24,Cynthia Vargas 2 inc,707107.62,32
Jan 2017,24,Francisco Hopper inc,547112.6,27
Jan 2017,24,Donald Sullivan 5 inc,430684.59,19
Jan 2017,24,Dorthea Brewington inc,392172.11,17
Jan 2017,24,Marvin Quinnie inc,381049.29,18
Jan 2017,25,Kathryn Carson inc,2694928.3,135
Jan 2017,25,Kay Connolly inc,2551532.87,124
Jan 2017,25,Rebecca Sales inc,2263896.99,115
Jan 2017,25,John Taggart inc,1306276.18,65
Jan 2017,25,Jeffrey Belcher 2 inc,1285120.43,64
Jan 2017,26,Kristy Fonseca inc,326034.77,16
Jan 2017,26,Cesar Ross inc,237840.18,11
Jan 2017,26,Nathaniel Gray inc,131332.09,7
